suite,rank,object
Hearts,1,Hearts1
Hearts,2,Hearts2
Hearts,3,Hearts3
Hearts,4,Hearts4
Hearts,5,Hearts5
Hearts,6,Hearts6
Hearts,7,Hearts7
Hearts,8,Hearts8
Hearts,9,Hearts9
Hearts,10,Hearts10
Diamonds,1,Diamonds1
Diamonds,2,Diamonds2
Diamonds,3,Diamonds3
Diamonds,4,Diamonds4
Diamonds,5,Diamonds5
Diamonds,6,Diamonds6
Diamonds,7,Diamonds7
Diamonds,8,Diamonds8
Diamonds,9,Diamonds9
Diamonds,10,Diamonds10
Spades,1,Spades1
Spades,2,Spades2
Spades,3,Spades3
Spades,4,Spades4
Spades,5,Spades5
Spades,6,Spades6
Spades,7,Spades7
Spades,8,Spades8
Spades,9,Spades9
Spades,10,Spades10
Clubs,1,Clubs1
Clubs,2,Clubs2
Clubs,3,Clubs3
Clubs,4,Clubs4
Clubs,5,Clubs5
Clubs,6,Clubs6
Clubs,7,Clubs7
Clubs,8,Clubs8
Clubs,9,Clubs9
Clubs,10,Clubs10
Hearts,Jack,HeartsJack
Hearts,Queen,HeartsQueen
Hearts,King,HeartsKing
Diamonds,Jack,DiamondsJack
Diamonds,Queen,DiamondsQueen
Diamonds,King,DiamondsKing
Clubs,Jack,ClubsJack
Clubs,Queen,ClubsQueen
Clubs,King,ClubsKing
Spades,Jack,SpadesJack
Spades,Queen,SpadesQueen
Spades,King,SpadesKing